Flight No.,Launch site,Date,Time,Version Booster,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
654,Vandenberg,"June 21, 2026",16:39,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
655,Cape Canaveral,"June 23, 2026",10:53,F9B5,SpaceX Starfall,U,LEO,SpaceX,Success,Success (
656,Vandenberg,"June 25, 2026",03:30,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
657,Vandenberg,"June 28, 2026",16:09,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
658,Cape Canaveral,"June 29, 2026",02:25,F9B5,SXM-11,"7,000 kg",GTO,SiriusXM,Success,Success (
659,Vandenberg,"July 2, 2026",02:58,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
660,Cape Canaveral,"July 5, 2026",10:50,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
661,Vandenberg,"July 7, 2026",07:12,F9B5,Transporter-17,U,SSO,Various,Success,Success (
662,Cape Canaveral,"July 9, 2026",09:25,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
663,Vandenberg,"July 11, 2026",03:01,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
664,Vandenberg,"July 14, 2026",01:28,F9B5,Starlink,"~15,525 kg",LEO,SpaceX,Success,Success (
665,Cape Canaveral,"July 14, 2026",09:10,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
666,Vandenberg,"July 16, 2026",20:32,F9B5,SDA Tranche 1 Transport Layer E,U,Polar,SDA,Success,Success (
667,Vandenberg,"July 21, 2026",14:49,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
668,Cape Canaveral,"July 21, 2026",21:15,F9B5,Mission Robotic Vehicle,"~4,200 kg",GTO,Northrop Grumman,Success,No attempt
669,Vandenberg,"July 25, 2026",15:51,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
670,Cape Canaveral,"July 30, 2026",07:10,F9B5,NROL-95,U,LEO,NRO,Success,Success (
671,Vandenberg,"August 1, 2026",03:08,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
672,Vandenberg,"August 4, 2026",17:05,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
673,Cape Canaveral,"August 5, 2026",07:49,F9B5,BlueBird,"~13,500 kg",LEO,AST SpaceMobile,Success,Success (
674,Vandenberg,"August 8, 2026",16:35,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
675,Cape Canaveral,"August 11, 2026",15:58,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
676,Vandenberg,"August 12, 2026",04:46,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
677,Cape Canaveral,"August 16, 2026",01:12,F9B5,Globalstar,"4,000 kg",LEO,Globalstar,Success,Success (
678,Vandenberg,"August 16, 2026",01:50,F9B5,Starshield,U,LEO,USSF,Success,Success (
679,Vandenberg,"August 19, 2026",04:01,F9B5,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
680,Cape Canaveral,"August 21, 2026",15:14,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
681,Vandenberg,"August 22, 2026",07:25,F9B5,Starlink,"~15,525 kg",LEO,SpaceX,Success,Success (
682,Cape Canaveral,"August 25, 2026",09:33,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
